Task,Image,UserID,,,Answer,,,,
Task 09,control,mauve-chaos,,,"there are 6 call: 2 in BilinearScale 2 in linearScale 2 in powScale  ""an OrderedCollection [6 items] (a NSPowScale(#(0 1), #(0 1))->9 a NSLinearScale(#(0 1.0), #(0 1))->3.0000000000000004 a NSBilinearScale(#(0 1.0), #(0 1))->3.0000000000000004 a NSPowScale(#(0 36756666), #(0 220))->4661900 a NSLinearScale(#(0 6062.727603974968), #(0 220))->2159.1433486454753 a NSBilinearScale(#(0 6062.727603974968), #(0 220))->2159.1433486454753)"" this is a colletion of association (receiver -> arguments ) .  In order to know this :  1- I put a counter on each scale: method in each class with a package name looking like math package name 2 - put  a singleton collector  in each method with a counter > 0 and adding the association  of receiver and arguments",,,,
Task 14,control,mauve-chaos,,,"It was difficult.   Finaly Ifound this  ""a Dictionary [2 items] (SimulationMock(Object)>>yourself->an OrderedCollection(35) SimulationMock>>exampleSelfReturnCall->an OrderedCollection(35) )"" si pc was 35 and 35.  in order to know this I collect all context associate to a pc. in order to this I put an instruction storing this information into my object. I place this instruction after each messge send to newContext.",,,,
Task 02,seeker,mauve-chaos,,,is signaled by the Kernel from the STONCore   in order to know this I ask all instanciatio of the error classes  with the seeker debugger,,,,
Task 04,seeker,mauve-chaos,,,I detect 7 camm to atEnd: 4 atEnd message from testAtEnd method from test class. 3 in Generator>>#next .  In order to find this I ask all messages send with atEnd with seeker.,,,,
Task 08,seeker,mauve-chaos,,,"6 instances creation from hiedra  1 HIRulerBuilder 1 HIRuler 2 HINode 2 HILink.  in order to find this I ask all instanciation with filter ""hiedra""",,,,
Task 10,seeker,mauve-chaos,,,I found those 2 reference on color: with receveir and arguments. RSNormaliser Class >> color a RSBox(1) color: Color green  RSNormaliser Class >> color a RSBox(2) color: a RSBox(2)  in order to find I ask all message send of selector #color:,,,,
Task 12,seeker,mauve-chaos,,,I found those IV: paint isFixed matrix shouldUpdateLines baseRectangle encompassingRectangle connectedLines parent  in order to find this:  I ask with seeker all instanca variable assignement.,,,,
Task 02,control,purple-ares,,,"From STONWriter>>#writeObject:do: , twice",,,,
Task 03,control,purple-ares,,,"It's called twice, from the test itself",,,,
Task 07,control,purple-ares,,,5 instances are created. MicroDownParser MicRootBlock MicOrderedListBlock MicListItemBlock MicListItemBlock,,,,
Task 10,control,purple-ares,,,"2 objects, class: RXBox. Color green and Color red",,,,
Task 11,control,purple-ares,,,showRectangles.  	shapes . 	fixedShapes . 	nodes. 	edges . 	animations . 	clearBackground . 	color . 	extent . 	camera (twice). shapes. nodes.,,,,
Task 01,seeker,purple-ares,,,RSMonitor>>#onNewEventDo: More precisely it calls #assert:description: which is a kernel method and raises the AssertionFailure error,,,,
Task 04,seeker,purple-ares,,,It's called 7 times. 4 times in the test directly (#testAtEnd) 3 times in Generator>>#next,,,,
Task 06,seeker,purple-ares,,,"There is 1 istance creation, from MicCodeBlock>>#asPillar",,,,
Task 09,seeker,purple-ares,,,"Classes : NSPowPowScale, NSPowScale, NSLinearScale, NSBilinearScale. Arguments are Arrays with 1 element which is a number: #(0), #(1), #(9), #(9), #(3.00000...4) etc",,,,
Task 13,seeker,purple-ares,,,values assigned to 'pragmas': - #() - aCollection --> an OrderedCollection [3 items] (RBPragmaNode(<hello: 5>) RBPragmaNode(<world: #ok>) RBPragmaNode(<blue: true>))  values assigned to 'source': - anObject --> 'methodPragmaAfterBeforTemps 		<hello: 5> 		| aTemp | 		<world: #ok> 		<blue: true>' - then the same once again  values assigned to 'keywordsPositions':  - nil - an Array [1 item] (1),,,,
Task 03,control,gray-hera,,,"2 times, from method testApproxVersion02",,,,
Task 06,control,gray-hera,,,"1 instance, from method asPillar (MicCodeBlock)",,,,
Task 08,control,gray-hera,,,"6 instances : 1 HiRulerBuilder, 1 HiRuler, 2 HiLink, 2 HiNode",,,,
Task 12,control,gray-hera,,,"variables modified: baseRectangle, encompassingRectangle, path, matrix, parent",,,,
Task 14,control,gray-hera,,,'pc' values: 28 and 35,,,,
Task 01,seeker,gray-hera,,,from method 'onNewEventDo:',,,,
Task 05,seeker,gray-hera,,,"3 instances, from method asPillar",,,,
Task 07,seeker,gray-hera,,,"4 instances : 1 MicRootBlock, 1 MicOrderedListBlock, 2 MicListItemBlock",,,,
Task 11,seeker,gray-hera,,,showRectangles shapes fixedShapes edges nodes animations clearBackground color extent camera,,,,
Task 13,seeker,gray-hera,,,pragmas:  1. #()  2. (RBPragmaNode(<hello: 5>) RBPragmaNode(<world: #ok>) RBPragmaNode(<blue: true>))   source:  methodPragmaAfterBeforTemps  	<hello: 5> 		 	| aTemp | 		 	<world: #ok> 		 	<blue: true> 	 keywordsPositions : {1},,,,
Task 04,control,magenta-thesis,,,"It was called 7 times : 4 times from testAtEnd and 3 times from the next method. To answer, I put a breakpoint in the atEnd method, and counted the number of interruptions and from which method it was called.",,,,
Task 06,control,magenta-thesis,,,"There was one instance creation of PRCodeBlock created, I did not manage to find from which method. To answer, I made a step-by-step execution of the test case to see when PRCodeBlock appeared in the children of  the document variable (after the conversion to the Pillar type (asPilllar).",,,,
Task 08,control,magenta-thesis,,,"I could not find the answer. I have no idea how I could do that, I tried to use the 'Next instance creation' method in the test debugger, but could not find any instance created of an object from the hiedra package.",,,,
Task 12,control,magenta-thesis,,,"The modified instance variables were: matrix, connectedLines, encompassingRectangle and parent. To answer, I opened an inspector on b1 right after it was first assign and watch the modification as I executed the test step-by-step. I also opened another inspector at the end to compare with the other inspector.",,,,
Task 14,control,magenta-thesis,,,"The values of pc of the instance variables of newContext are: 28 and nil. I opened an inspector  on newContext once it was assigned, and then performed a step-by-step execution ('Over'), refreshing the inspector between each step.",,,,
Task 03,seeker,magenta-thesis,,,"The message was sent twice from the method of the tes case itself (testApproxVersion02). To answer the question I used the seeker debug and used the query, All message sends with selected	 selectro.",,,,
Task 05,seeker,magenta-thesis,,,"There were 3 instances created, from the method asPillar. I used the seeker debuggerand used the query : All instance creation of class named as selection.",,,,
Task 07,seeker,magenta-thesis,,,"There were 4 instances  created belonging to the following classes: Microotblock, MicOrderedListBlock and two from MicListItemBlock. I used the seeker debugger to query all the instances creations, and then counted the one belonging to MicroDown. I tried to use the filter to display only the ones from MicroDown, ubt I did not work (nothing changed when I pressed enter)",,,,
Task 11,seeker,magenta-thesis,,,"Beside the initial assignments of the instance variables in the initialize method of the RSCanvas object (not sure if that counts as 'modified'), the only instance variable modified during the test was the instance variable 'camera'. To determine that camera was modified,  I simply read the code of the testcase (I might have missed other modifications that occurs in the other methods, but I did know how to find these modifications).",,,,
Task 13,seeker,magenta-thesis,,,"Pragmas is assigned  an empty collection, and then an ordered collection containing RBPragma. source  is assigned something of the type  starting with (I could not read the type once I finished the task) methodPragmaAfterBeforeTe, and then another object of the same type. keywordsPositions is assigned nil and then an integerArray containing the value 1. I used the query of the seeker debugger ""All the assignments of instance variables  of the object  pointed by the selected variables"" to answer the question.",,,,
Task 02,control,golden-euros,,,"Both are signaled from the STONWriter>>error: method. But both arrive from different places. To find this: I debugged the test, selected the code inside the should block, and ""do it"". The debugger shows the place where the exceptions were raised",,,,
Task 03,control,golden-euros,,,"2 times. Only from the test itself. Looking at the test suggests that, but to be sure I modified all implementors of asMetacelloVersionNumber to add a global counter and a collection of callers. That satisfied the hypothesis.",,,,
Task 07,control,golden-euros,,,"Looks like we have 4 instances, 2 of MicListItemBlock, 1 of MicOrderedListBlock and 1 of MicRootBlock. I did it by using the new superpower method wrappers.",,,,
Task 10,control,golden-euros,,,"Only RSBox, only green and red (though I did not count the number of calls because it was not asked for). I did it again with method wrappers",,,,
Task 11,control,golden-euros,,,"Tricky question. Technically, all of them are initialized, thus set, thus modified during the test. Technically, after initialization those variables seem to not be touched anymore (and if they are, they are set with the same old value). I did this by making a copy of the object after instantiation and programmatically comparing all instance variables at the end of the test (yes, it may not be 100% precise, but I'm pretty confident)",,,,
Task 01,seeker,golden-euros,,,"onNewEventDo:. Executing it by just ""do it"" the body of the should block shows the exception.",,,,
Task 04,seeker,golden-euros,,,7. a Set('Generator>>#next' 'GeneratorTest>>#testAtEnd'). I did it by changing the code of atEnd to log the information I wanted,,,,
Task 06,seeker,golden-euros,,,"1, from MicCodeBlock>>asPillar. I changed the code of PRCodeBlock to log the instances.",,,,
Task 09,seeker,golden-euros,,,"NSPowScale NSBilinearScale NSPowPowScale NSLinearScale, with arguments 0 9 3.0000000000000004 1 4661900 2159.1433486454753 36756666 (not in that order (which was not asked or not clear)). I did it with method wrappers AND with seeker. Method wrappers was as fast to execute as the original test but needed me to write ~10 lines of code.",,,,
Task 13,seeker,golden-euros,,,In order of occurrence:  pragmas -> #() keywordPositions -> nil keywordPositions -> IntegerArray(1) pragmas -> an ordered collection source-> the source string source-> seemingly the source string again  I did it using seeker. I had to step until the instance of was created and then I did an instance specific query.,,,,
Task 01,control,orange-apeliotes,,,This is the assert:description:,,,,
Task 04,control,orange-apeliotes,,,7 an OrderedCollection(#testAtEnd #next #testAtEnd #next #testAtEnd #next #testAtEnd),,,,
Task 06,control,orange-apeliotes,,,asPillar 1 times.,,,,
Task 09,control,orange-apeliotes,,,"{ #Instances an OrderedCollection(a NSPowScale(#(0 1), #(0 1)) a NSLinearScale(#(0 1.0), #(0 1)) a NSBilinearScale(#(0 1.0), #(0 1)) a NSPowScale(#(0 36756666), #(0 220)) a NSLinearScale(#(0 6062.727603974968), #(0 220)) a NSBilinearScale(#(0 6062.727603974968), #(0 220))) . #Args an OrderedCollection(9 3.0000000000000004 3.0000000000000004 4661900 2159.1433486454753 2159.1433486454753) }",,,,
Task 13,control,orange-apeliotes,,,KeywordsPositions nil Pragmas an OrderedCollection(#(1)) Sources an OrderedCollection('source: anObject 	source := anObject. 	CollectorOfInformation addSource: anObject.' 'source: anObject 	source := anObject. 	CollectorOfInformation addSource: anObject.' 'Object subclass: #MyClass 	instanceVariableNames: ''''  	classVariableNames: '''' 	package: ''''' 'testPragmaAfterBeforTemp 	| aRBMethod | 	aRBMethod := OpalCompiler new parse: self methodPragmaAfterBeforTemps.  	self assert: aRBMethod compiledMethod pragmas first selector equals: #hello:. 	self assert: aRBMethod compiledMethod pragmas second selector equals: #world:' 'testPragmaAfterBeforTemp 	| aRBMethod | 	aRBMethod := OpalCompiler new parse: self methodPragmaAfterBeforTemps.  	self assert: aRBMethod compiledMethod pragmas first selector equals: #hello:. 	self assert: aRBMethod compiledMethod pragmas second selector equals: #world:' 'methodPragmaAfterBeforTemps 		<hello: 5> 		| aTemp | 		<world: #ok> 		<blue: true>' 'methodPragmaAfterBeforTemps 		<hello: 5> 		| aTemp | 		<world: #ok> 		<blue: true>' 'Object subclass: #CollectorOfInformation 	instanceVariableNames: '''' 	classVariableNames: ''Args Instances KeywordsPositions Pragmas Sources'' 	package: ''NumericInterpolator-Scales''' 'Object subclass: #CollectorOfInformation 	instanceVariableNames: '''' 	classVariableNames: ''Args Instances KeywordsPositions Pragmas Sources'' 	package: ''NumericInterpolator-Scales''' 'Object subclass: #CollectorOfInformation 	instanceVariableNames: '''' 	classVariableNames: ''Args Instances KeywordsPositions Pragmas Sources'' 	package: ''NumericInterpolator-Scales''' 'Sources' 'DoIt  	^ Sources' 'DoIt  	^ Sources' 'DoIt  	^ Sources',,,,
Task 02,seeker,orange-apeliotes,,,writeObject: anObject do: block writeObject: anObject do: block,,,,
Task 03,seeker,orange-apeliotes,,,2 times and from the text method testApproxVersion02,,,,
Task 07,seeker,orange-apeliotes,,,MicListItemBlock 2 MicOrderedListBlock 1 MicRootBlock 1,,,,
Task 10,seeker,orange-apeliotes,,,RSbox  Color green and Color red,,,,
Task 11,seeker,orange-apeliotes,,,showrectangles shapes fixedShapes nodes edges animations clearBackgroudn color extend camera now I have some doubts because the tool show field pointing to nil and I see in the initialize method that there are set.,,,,
Task 02,control,orange-nyx,,,From STONWriter>>writeObject:do: (which call error:),,,,
Task 04,control,orange-nyx,,,7 Directly from the test and from Generator>>next,,,,
Task 08,control,orange-nyx,,,HiRulerBuilder 1 HiRuler 1 HiNode 2 HiLink 2,,,,
Task 10,control,orange-nyx,,,RSBox => Color green RSBox => Color red,,,,
Task 12,control,orange-nyx,,,matrix connectedLines encompassingRectangle parent,,,,
Task 01,seeker,orange-nyx,,,RSMonitorEvents>>onNewEventDo:,,,,
Task 03,seeker,orange-nyx,,,"2 times, call directly by the test code.",,,,
Task 05,seeker,orange-nyx,,,"3 times, from MicHeaderBlock>>asPillar",,,,
Task 09,seeker,orange-nyx,,,Classes : NSPowPowScale NSPowScale NSLinearScale NSBilinearScale Values : 0  1  9  3.00000000000...4  36756666  4661900   2159.1433486454753,,,,
Task 14,seeker,orange-nyx,,,Values : nil 25 28 29,,,,
Task 02,control,pink-hades,,,STONWriter>>writeObject:do:,,,,
Task 03,control,pink-hades,,,2 times both from MetacelloVersionNumberTestCase>>testApproxVersion02,,,,
Task 07,control,pink-hades,,,2 MicRootBlock,,,,
Task 10,control,pink-hades,,,RSBox Color green. RSBox Color red,,,,
Task 11,control,pink-hades,,,"shapes, nodes, camera",,,,
Task 01,seeker,pink-hades,,,RSMonitorEvents>>onNewEventDo:,,,,
Task 04,seeker,pink-hades,,,7 times. 4 from GeneratorTest>>testAtEnd 3 from Generator>>next.,,,,
Task 06,seeker,pink-hades,,,1 from MicCodeBlock>>asPillar,,,,
Task 09,seeker,pink-hades,,,"NSPowPowScale 0, NSPowPowScale 1, NSPowScale 9, NSPowPowScale 9, NSLinearScale 9, NSBilinearScale 3.0000000000000004, NSPowPowScale  0, NSPowPowScale 1, NSPowPowScale 0, NSPowPowScale 36756666, NSPowscale 4661900, NSPowPowScale 4661900, NSLinearScale 4661900, NSBilinearScale 2159.1433486454753",,,,
Task 13,seeker,pink-hades,,,"pragmas nil to #() to an OrderedCollection [3 items] (RBPragmaNode(<hello: 5>) RBPragmaNode(<world: #ok>) RBPragmaNode(<blue: true>)), source from nil to methodPragmaAfterBeforTemps 		<hello: 5> 		| aTemp | 		<world: #ok> 		<blue: true>  to methodPragmaAfterBeforTemps 		<hello: 5> 		| aTemp | 		<world: #ok> 		<blue: true>, 																 keywordsPositions from nil to nil to an IntegerArray [1 item] (1)",,,,
Task 03,control,cyan-athena,,,"2 times, both form testApproxVersion02. I put a breakpoint at all implementors of asMetacelloVersionNumber, debugged the test and proceeded to all the breakpoints to count them / see who sent them",,,,
Task 06,control,cyan-athena,,,"1,  from MicCodeBlock>>asPilar I browsed to the class, put a halt in PRCodeBlock>>initialize, and checked how many times it was hit + which method called the new",,,,
Task 08,control,cyan-athena,,,"5, 1 for HiRuler, 2 for HiLink, 2 for HiNode. I run the test halting at the end of it, and I executed this in the debugger: ('Hiedra' asPackage classes collect:[:class | class -> class allInstances size]) select: [ :c | c value > 0 ]. I started from the supposition that there where no other instances of Hiedra, but the numbers look correct by checking the values and links referenced by the ruler",,,,
Task 12,control,cyan-athena,,,"parent, encompassingRectangle, connectedLines. I inspected in the test a deepCopy of b1, and inspected b1 at the end of the test. I then compared the variables from the inspector and checked which ones changed",,,,
Task 14,control,cyan-athena,,,"28 and 35. I put an halt in the test, run it, and noted the pc of the context before and after every step",,,,
Task 01,seeker,cyan-athena,,,"RSMonitorEvents>>onNewEventDo: I added a query on all message received, filtered RSMonitorEvents, went to the ""onNewEventDo:"" and stepped to see the assert fail",,,,
Task 05,seeker,cyan-athena,,,"3 I used the ""instance creation"" feature and then fltered for PRHeader",,,,
Task 07,seeker,cyan-athena,,,"4, MicRootBlock, MicOrderedListBlock and two of MicListItemBlock I added the instance creation query, and filtered for ""Microdown"". I then went to check if if MicRotBlock was a subclass of Microdown, or if it was simply in its package (I don't like the square bracket notation to indicate the package)",,,,
Task 11,seeker,cyan-athena,,,"showRectangles, shapes, fixedShapes, nodes, edges, animations, clearBackground, color, extent, camera I used the query to check all instance variables assignments of the selected variable (after stepping so it would first be initialized)",,,,
Task 13,seeker,cyan-athena,,,"pragmas -> #() -> #(RBPragmaNode<hello: 5>, RBPragmaNode(<world:#ok>), RBPragmaNode(<blue:true>)) source -> methodPragmaAfterBeforeTemps ...  (Twice) keywordsPositions -> nil -> #(1)",,,,
Task 03,control,blue-hephaestus,,,I think 2 call in testApproxVersion02 but I'm not sure,,,,
Task 05,control,blue-hephaestus,,,3 instances of PRHeader created in initialiaze method of MicroDownParser (it's long time to search)   volume_up 26 / 5000 Résultats de traduction it takes a long time to search,,,,
Task 07,control,blue-hephaestus,,,1 instance of MicroDownParser in MicroDown package parser in setup instantiate the parser,,,,
Task 11,control,blue-hephaestus,,,the shape variable  has been changed,,,,
Task 13,control,blue-hephaestus,,,"it is too long, it would be necessary to put breakpoints for each method which modifies the variables and noted each value at each step",,,,
Task 04,seeker,blue-hephaestus,,,7 call 3 call by #next,,,,
Task 06,seeker,blue-hephaestus,,,1 instance of PRCodeblock with the method #new of MicCodeBlock,,,,
Task 08,seeker,blue-hephaestus,,,4 class from Hiedra package : HiRulerBuilder HiRuler HiNode (2 instances) HiLink (2 instances),,,,
Task 12,seeker,blue-hephaestus,,,the corner extent,,,,
Task 14,seeker,blue-hephaestus,,,"33, 34 and 35",,,,
Task 04,control,lilac-euros,,,8 times the atEnd is called. 4 times from testAtEnd and 4 from Generator >> next,,,,
Task 06,control,lilac-euros,,,1 instance is created from the MicCodeBlock >> asPillar method,,,,
Task 08,control,lilac-euros,,,6 in total: 1 instance of HiRulerBuilder  1 instance of HiRuler  2 instances of HiNode 2 instances of HiLink,,,,
Task 12,control,lilac-euros,,,Instances of b1 modified are: paint parent  isFixed encompassingRectangle  baseRectangle  matrix connectedLines  shouldUpdateLines,,,,
Task 14,control,lilac-euros,,,The line: 'newContext := aMethodContext step.' creates a new context where the pc value is 28 then nil The line: 'newContext := newContext step.' creates a new context where the pc value is 35,,,,
Task 03,seeker,lilac-euros,,,2 messages of asMetacelloVersionNumber are sent both from testApproxVersion02,,,,
Task 05,seeker,lilac-euros,,,3 instances of PRHeader are created. The 3 from MicHeaderBlock asPillar,,,,
Task 07,seeker,lilac-euros,,,"4 instances of classes belonging to the Microdown package are created. 1 from MicRootBlock, 1 from MicOrderedListBlock and 2 from MicListItemBlock",,,,
Task 11,seeker,lilac-euros,,,"The IV modified are: showRectangles, shapes, fixedShapes, nodes,	edges, 	animations, clearBackground, color, extent, camera",,,,
Task 13,seeker,lilac-euros,,,to 'pragmas' is assigned: '#()' and 'an OrderedCollection [3 items] (RBPragmaNode(<hello: 5>) RBPragmaNode(<world: #ok>) RBPragmaNode(<blue: true>))' to 'source' is assigned: 'methodPragmaAfterBeforTemps 		<hello: 5> 		| aTemp | 		<world: #ok> 		<blue: true>' twice    to 'keywordsPositions' is assigned: 'nil' and 'an IntegerArray [1 item] (1)',,,,
Task 04,control,rose-dementer,,,"4, called within testAtEnd",,,,
Task 06,control,rose-dementer,,,"1, testCodeBlock",,,,
Task 08,control,rose-dementer,,,6 HiRulerBuilder HiRuler HiNode HiNode HiLink HiLink,,,,
Task 12,control,rose-dementer,,,I have no idea - I gave up on this task as it takes too long (nothing obvious),,,,
Task 14,control,rose-dementer,,,"Again, it takes too long to do this. I see a breakpoint tab in the inspector for the object, which implies I can set breakpoints in the object (maybe to see its changes?) but I can't see how to do this. The Pharo GUI always feels frustrating to me.",,,,
Task 03,seeker,rose-dementer,,,"2, from testApproxVersion02",,,,
Task 05,seeker,rose-dementer,,,3 testHeader,,,,
Task 07,seeker,rose-dementer,,,4 MicRootBlock MicOrderedListBlock MicListItemBlock (x2),,,,
Task 11,seeker,rose-dementer,,,"showRectangles, shapes, fixedShapes, nodes,edges,animations,clearBackground,color,extent,camera",,,,
Task 13,seeker,rose-dementer,,,pragmas #() and an OrderedColection(RBPrag... source methodPragmaAfterBeforeTe... (2x) keywordsPositions nil and anIntegerArray(1),,,,
Task 03,control,rose-apeliotes,,,2 times and from String>>asMetacelloVersionNumber method,,,,
Task 06,control,rose-apeliotes,,,1 and from asPillar,,,,
Task 08,control,rose-apeliotes,,,I think that this would take too much time to finish.,,,,
Task 12,control,rose-apeliotes,,,"matrix, connectedLines, encompassingRectangle, parent",,,,
Task 14,control,rose-apeliotes,,,"28, nil",,,,
Task 01,seeker,rose-apeliotes,,,onNewEventDo:,,,,
Task 05,seeker,rose-apeliotes,,,3 and all were created by PRHeader class,,,,
Task 07,seeker,rose-apeliotes,,,"4 instances. The classes are:  MicRootBlock, MicOrderedListBlock, MicListItemBlock",,,,
Task 11,seeker,rose-apeliotes,,,10,,,,
Task 13,seeker,rose-apeliotes,,,"pragmas: #(), OrderedCollection source: 'methodPragmaAfterBeforTemps 		<hello: 5> 		| aTemp | 		<world: #ok> 		<blue: true>' keywordsPosition: nil, IntegerArray(1)",,,,
Task 02,control,golden-apollo,,,"Using the ""Do it"" option I ran the code inside the bloc that is suppose to raise the exception. I got the same ""StonWriterError"" that openened a debugger. Going back once in the stack I found the STONWriter>>writeObject:do: signaling the exception for both.",,,,
Task 04,control,golden-apollo,,,"I first put a counter on the #atEnd method to check if there was not to much calls, I got 7.  Then I put a breakpoint and I got the following calling methods : GeneratorTest>>testAtEnd Generator>>next GeneratorTest>>testAtEnd Generator>>next GeneratorTest>>testAtEnd Generator>>next GeneratorTest>>testAtEnd",,,,
Task 08,control,golden-apollo,,,I added counters on class methods corresponding to instantiation. I got :  HiLink : 2 (compteur sur origin:target:...) HiNode : 2 (value:rulerPoint: HiRuler : 1 This seems coherent with the testCycle case,,,,
Task 10,control,golden-apollo,,,"I tried to put counters on every color: implementation. I couldn't do it with a script so I did it by hand from the implementors window. As it is a message used in many ui element, I got a lot of noise :   SimpleBorderStyle : 24 000 + (pollué par les interfaces graphiques) ClyCritiqueSevertity : 845  (pollué par les interfaces graphiques) Morph 33 000+  (pollué par les interfaces graphiques) SpToolbarMorph : 309 +  RS border 35 RS shape 172 SolidFillStyle : 23482 SolidFillStyle Class : 59 000+ SpAbstractWidgetPresenter : 99 Text Color : 871 Text Color Class : 115   The ones who seems relevant or the one from the RS packache : RS border and RS Shape. However, has there is still many of these I am not confident in putting a breakpoint in those #color methods to get the arguments.",,,,
Task 12,control,golden-apollo,,,"I know that there was some tools to put breakpoint on a single object that were developped two years ago. If they are here, I failed to find them. I tried to put breakpoint on writing on the class, but I ended up with a crashing VM so I won't try further to get this data with debugging tools.",,,,
Task 01,seeker,golden-apollo,,,The exception is signaled from the assert:description in MonitorEvents (cqlled by onNewEventDo: from the same class),,,,
Task 03,seeker,golden-apollo,,,Two messages with this selector are sent during the test from the test method testApproxVersion02,,,,
Task 05,seeker,golden-apollo,,,3 instances of PRHeader or created from the MicHeaderBlock>>asPillar method,,,,
Task 09,seeker,golden-apollo,,,14 #scale: messages with the following arguments : 0 1 9 9 9 3 0 1 0 36756666 4661900 4661900 4661900 2159.1433486454753,,,,
Task 14,seeker,golden-apollo,,,The pc instance variable values were : nil 25 28 29 nil,,,,
Task 03,control,rose-ares,,,"asMetacelloVersionNumber is sent twice, first we convert '1.1' to a MetacelloVersionNumber with it then we compare it with the operator ~> which is implemented by the class MetacellloVersionNumber, the right side also call the message asMetacelloVersionNumber to convert '1.1' into a MetacelloVersionNumber. The message is from asMetacelloVersionNumber method. In the implementation of ~> operator,  there's no call to the asMetacelloVersionNumber message.",,,,
Task 05,control,rose-ares,,,"There's 3 instances of PRHeader created during the execution of this test.   These instances are created by the method MicRootBlock>>asPillar.   Indeed, during the test we create a MicroDownParser object with the line.  document := self parserClass new parse: '# Header1 	 ## Header 2 	 ### Header 3 '.  self parserClass new <- create an instance of MicroDownParser self parserClass parse: <- return an of MicRootBlock.  During the execution of the method MicroDownParser>>parse: , we can see that we call the method MicroDownParser>>newRootBlock at the line :  current := root := self newRootBlock 		setParser: self","yourself. the method MicroDownParser>>newRootBlock return an instance of MicRootBlock class,  and at the end of MicroDownParser>>parse: we return this instance.   After this, we call the message asPillar to the MicRootBlock instance, if we check the MicRootBlock>>asPillar method, we can see that this method create an instance of PRDocument class, with the message setChildren at the line :  setChildren: (self children collect: [ :child | child asPillar ])","<- Here we can see that each children receive the message asPillar, so if the child is a MicHeaderBlock we create an instance of PRHeader, if the child is a MicParagraphBlock we create an instance of PRParagraph and so on.  The child class is determinate during the execution of the method MicroDownParser>>handleLIne.  During the execution of the test, we create 3 instance of PRHeader and 2 instance of PRParagraph, we can check that by adding these line into the test :  self assert: pillarDocument children second class equals: PRParagraph. self assert: pillarDocument children fourth class equals: PRParagraph.",,
Task 07,control,rose-ares,,,"There's 2 instance belonging to the MicroDown package. One from MicroDownParser and one from MicRootBlock.   We can see at the line : root := parser parse: source. That we send the message parse to parser which is an instance variable of the MicBlockTest class.  When we create a subclass of MicBlockTest, the method MicBlockTest>>setUp is call. During this method we can see that we initialize the instance variable parser at the line: parser := self parser.  We can check the method MicBlockTest>>parser,  this method call and return the result of self parserClass new. The method MicBlockTest>>parserClass return an instance of MicroDownParser class.   Now when  the line ""root := parser parse: source"" is executed we know that the parse method is the method MicroDownParser>>parse: that we saw in the task05.  With implementor, we can find the source code and as for tast05 we know that MicroDownParser>>parse: call the method MicroDownParser>>newRootBlock which create an instance of MicRootBlock.",,,,
Task 11,control,rose-ares,,,"There's two instance variables which are modified during this test.    I used implementors to navigate between message implementation.   The test starts by creating an instance of RSCanvas, then add to it  a shape with the method RSCanvas>>add:. In the method RSCanvas>>add:, we can see a call to RSShape>>addIn:.    When we check RSShape>>addIn: , we can see a test with ""self isFixed"", if the shape is fixed then we add the figure in the canvas with the method RSCanvas>>addFixedShape, otherwise we add it with the method RSCanvas>>addBasicShape.   We can now check, theses two method RSCanvas>>addFixedShape and RSCanvas>>addBasicShape. In the first one (RSCanvas>>addFixedShape) we can see that we modify the value of the instance variable fixedShapes.  In the second one (RSCanvas>>addBasicShape) we can see that we modify the value of the instance variable shapes.   So we modify shapes OR fixedShapes depending if the shape is fixed or not.   Then we modify the camera instance variable.",,,,
Task 13,control,rose-ares,,,"For this task, i used playground to have information about the aRBMethod and the inspection tool. The source instance variable, is always equals to OCPragmaTest>>methodPragmaAfterBeforTemps, which return : 	'methodPragmaAfterBeforTemps 		<hello: 5> 		| aTemp | 		<world: #ok> 		<blue: true>'  pragmas will contains 3 entry, (hello, world, blue)  for the keywordsPositions is 1.",,,,
Task 04,seeker,rose-ares,,,"With seeker, I selected atEnd from source pane then seekerQueries > messages > all messages sent with selected selector The method generator>>#atEnd is called 7 times:  4 times from test with line : self deny: generator atEnd.  3 times from generator>>#next with line : generator next.",,,,
Task 06,seeker,rose-ares,,,"There's one instance of PRCodeblock created from PRCodeblock class method is new.   Using seeker, select in source pane PRCodeblock then SeekerQueries > Instances creation > All instances creation of classes name as selection.",,,,
Task 08,seeker,rose-ares,,,"There's 6 instances belonging to the Hiedra package created during the test execution.   Theses instances are from classes : HiRulerBuilder class HiRuler class HiNode class HiNode class HiLink class HiLink class   Using Seeker, right click in the source pane SeekerQueries > Instances Creation > All instances Creation.   Now in the search tool, we can enter Hiedra and we have the result.",,,,
